fixture_id,fixture_display,kickoff_local,app,market_original,market_id,selection_original,selection_id,line,odds,promo,source_image,capture_time,notes
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 2.5,under,2.5,1.98,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 1.5,over,1.5,1.28,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 1.5,under,1.5,3.70,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 3.5,over,3.5,3.05,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 3.5,under,3.5,1.39,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 0.5,over,0.5,1.05,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 0.5,under,0.5,9.75,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 4.5,over,4.5,5.50,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 4.5,under,4.5,1.15,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 5.5,over,5.5,10.00,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 5.5,under,5.5,1.05,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 6.5,over,6.5,15.00,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 6.5,under,6.5,1.01,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Ambos equipos anotan,btts,Sí,yes,,2.07,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Ambos equipos anotan,btts,No,no,,1.70,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Escocia -1,home,-1,18.50,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -1,draw,-1,8.00,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Brasil +1,away,+1,1.11,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Escocia +1,home,+1,2.95,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate +1,draw,+1,3.60,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Brasil -1,away,-1,2.15,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Escocia +2,home,+2,1.70,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate +2,draw,+2,4.20,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Brasil -2,away,-2,3.90,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Escocia +3,home,+3,1.26,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
