date,competition,weight,team_a,team_b,elo_a,elo_b,outcome,score_a,score_b,odds_a,odds_d,odds_b
2026-06-19,WC_2026_GROUP,1.0,PAR,TUR,1667.9366636544719,1735.5218675307356,A,1,0,,,
2026-06-20,WC_2026_GROUP,1.0,NED,SWE,1925.0316345250126,1760.8475490592627,A,5,1,,,
2026-06-20,WC_2026_GROUP,1.0,GER,CIV,1913.5437282772864,1760.9638078025555,A,2,1,,,
2026-06-20,WC_2026_GROUP,1.0,ECU,CUR,1759.0361921974445,1516.4562717227136,D,0,0,,,
2026-06-21,WC_2026_GROUP,1.0,JPN,TUN,1824.9683654749874,1604.1524509407373,A,4,0,,,
2026-06-21,WC_2026_GROUP,1.0,ESP,KSA,2101.4144249378824,1597.6270697054626,A,4,0,,,
2026-06-21,WC_2026_GROUP,1.0,BEL,IRN,1878.541649508265,1707.084834937048,D,0,0,,,
2026-06-21,WC_2026_GROUP,1.0,URU,CPV,1870.3729302945374,1605.5855750621174,D,2,2,,,
2026-06-21,WC_2026_GROUP,1.0,EGY,NZL,1711.458350491735,1572.915165062952,A,3,1,,,
2026-06-22,WC_2026_GROUP,1.0,ARG,AUT,2127.8005422360275,1856.6953496875353,A,2,0,,,
2026-06-22,WC_2026_GROUP,1.0,FRA,IRQ,2084.340351772527,1591.6819030042905,A,3,0,,,
2026-06-22,WC_2026_GROUP,1.0,NOR,SEN,1929.3180969957095,1838.6596482274729,A,3,2,,,
2026-06-22,WC_2026_GROUP,1.0,JOR,ALG,1653.3046503124647,1759.1994577639725,B,1,2,,,
2026-06-23,WC_2026_GROUP,1.0,POR,UZB,1965.9175310105302,1646.9271069806596,A,5,0,,,
2026-06-23,WC_2026_GROUP,1.0,ENG,GHA,2045.717484186783,1734.0361921974445,D,0,0,,,
2026-06-23,WC_2026_GROUP,1.0,PAN,CRO,1615.9638078025555,1803.282515813217,B,0,1,,,
2026-06-23,WC_2026_GROUP,1.0,COL,COD,1878.0728930193404,1658.0824689894698,A,1,0,,,
