source_image,source_sha256,fixture_id,app,transcribed_selection_rows,inventory_status
IMG_7630.PNG,32f2d061b5bbf63644037d708ceea978b006c140636211517fb341723f1eb164,2026-06-22-jor-alg,Betano,0,reviewed_no_supported_row
IMG_7631.PNG,7d8225036df145bb1e58c7b6bcee003e106eff787e7515fa5b52c3ca1b5892d3,2026-06-22-jor-alg,Betano,0,reviewed_no_supported_row
IMG_7632.PNG,4728b1d0fe6c75d61ac285292fb3fdba555d8a3d32ffdafbaf9601e1bdfa640a,2026-06-22-jor-alg,Betano,0,reviewed_no_supported_row
IMG_7633.PNG,aabd014714d11d56a9f77ef527e56b7b718b813f470f81ec9f6467f23784a088,2026-06-22-jor-alg,Betano,0,reviewed_no_supported_row
IMG_7634.PNG,4663e2ed181ce411a759016b5382850d45d186add7c724f863e805cca8039100,2026-06-23-por-uzb,Betano,0,reviewed_no_supported_row
IMG_7635.PNG,d7331eee85e899556f768e6608bfae1436099e7c6a034c9596f06c17430c83e6,2026-06-23-por-uzb,Betano,0,reviewed_no_supported_row
IMG_7636.PNG,cb376566510f34e65a2e96de65163eb49d0d17e80c3eb6a6d1f77beb439743cc,2026-06-23-por-uzb,Betano,0,reviewed_no_supported_row
IMG_7637.PNG,573cb1ed0440575c69b6878c2c64e3903c1a41ce1b0048b62603e03f89f3df40,2026-06-23-por-uzb,Betano,0,reviewed_no_supported_row
IMG_7638.PNG,434db5dc0e6d952a4295cdcdd264de4c6a82814447aad9d0c2afbda9d1ce6eef,2026-06-23-eng-gha,Betano,0,reviewed_no_supported_row
IMG_7639.PNG,f1feced64cbca358fe7bf51b92ea1135077266eeef764e2de796f8893c73239e,2026-06-23-eng-gha,Betano,0,reviewed_no_supported_row
IMG_7640.PNG,e78cd6e0e295df6e11ba8e78312e5d1210113f35e2086b11c361c7e78dfd7d17,2026-06-23-eng-gha,Betano,0,reviewed_no_supported_row
IMG_7641.PNG,4bf58a83f3ea8a205abd92665622c8fe222ac59bda3937aebc762f43b5c715bf,2026-06-23-eng-gha,Betano,0,reviewed_no_supported_row
IMG_7642.PNG,1dd1f0dd2d84aa54a50574e6728dd4501ea16c78c3bfb662c87e7fc03b557cdb,2026-06-23-eng-gha,Betano,0,reviewed_no_supported_row
IMG_7643.PNG,5573d0ecd562551a6c679469fe35e2f768ce1eca91d3b0df1d73409ef9c6c4aa,2026-06-23-pan-cro,Betano,0,reviewed_no_supported_row
IMG_7644.PNG,d4d1435c5502283fcb328924dc21ca55c3dfc6b6405626a1bb83769661390576,2026-06-23-pan-cro,Betano,0,reviewed_no_supported_row
IMG_7645.PNG,0e2ca3b32e8bd870b4fe30dde4cef876c59da6e05d73add40c4de7f926613037,2026-06-23-pan-cro,Betano,0,reviewed_no_supported_row
IMG_7646.PNG,96fb05be63fba6fd91fa9375086ae0b974708401850309be0ee3c32d8e01db51,2026-06-23-pan-cro,Betano,0,reviewed_no_supported_row
IMG_7647.PNG,a723510ebbe35915bb38d10e2e4e71cfee74829acb2ed3208879c64790f76ff5,2026-06-23-pan-cro,Betano,0,reviewed_no_supported_row
IMG_7648.PNG,176e080042db61f5c3745a9c08cb044066bbdf48f69654bf0f88d8ba24543422,2026-06-23-col-cod,Betano,0,reviewed_no_supported_row
